Username,Text,language,retweet_count,Time,location
Irvin00139427,"@dylanotes You have to ask truth from person who most of iranian support them.   #HosseinRonaghi is one of those people, NOT people on this list.  Please hear our voices not NIAC or anyone who related to the Goverment..",en,0,2022-12-16 03:08:05+00:00,Iran
babako,@NIACouncil @NIACouncil shame on you for selling your country and your people! Your lies and greed are now evident to the world- you were never credible and now you are no longer viable. Our heroes and leaders like #HosseinRonaghi are the true voice of Iran and Iranians. @babako @Tysonofiran,en,1,2022-12-15 22:01:33+00:00,
Con_E76,@JasonMBrodsky They don't deserve the health they've enjoyed to now.  #StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail,en,0,2022-12-15 16:49:08+00:00,Canadia
EboshiJasmine,@BRougeB @HosseinRonaghi Who the hell do you think you are to make a criticism of a true hero like #HosseinRonaghi????  Just  move on and do at least one constructive action: leave twitter for good.,en,0,2022-12-15 16:06:59+00:00,Paris
AlizadehYass,Do you see the colorful facade of this black hole of injustice? The prettiest blue sky painted on the walls to blind you to the horror stories happening inside? That is exactly what #HosseinRonaghi has been warning you about. #NavidAfkari #MahsaAmini https://t.co/4wVWoaKw0e,en,0,2022-12-15 14:49:00+00:00,
Simba30102018,@NIACouncil @NIACouncil shame on you for selling your country and your people! Your lies and greed are now evident to the world- you were never credible and now you are no longer viable. Our heroes and leaders like #HosseinRonaghi are the true voice of Iran and Iranians. @babako @Tysonofiran,en,1,2022-12-15 14:43:23+00:00,
AlizadehYass,Just a reminder that the struggle against the regime started in the early days of 1979! Undermining the strife until 09/16/22 and jumping on the bus to victory now does not erase history! This is a revolution against amnesia! #HosseinRonaghi #MahsaAmini #IRGCterrorists https://t.co/P8AwBZmgcR,en,1,2022-12-15 13:13:04+00:00,
Joudi_fl,@ShahedGhoreishi shut up liars . Shame on NIAC.   #MahsaAmini   #HosseinRonaghi,en,0,2022-12-15 11:54:54+00:00,
Banolet3,@HosseinRonaghi @NIACouncil @tparsi @hodarostami We support #HosseinRonaghi all the way. NIAC you've passed your prime. Bye.,en,0,2022-12-15 11:27:37+00:00,
DrSam00000,@Lghara93 Hossein ronaghi did a great job exposing fake journalists under Islamic Republic payroll betraying Iranian. They are stepping on Iranian blood and thanks to #HosseinRonaghi for being so smart. #MahsaAmini  #IranRevolution  #MohsenShekari,en,0,2022-12-15 10:13:32+00:00,تهران
nayebsadegh,Only an idiot would think the followers &amp; likes of the so-called Iranian opposition are REAL. #HosseinRonaghi &amp; his right wing ideological cohorts are nothing but fake CIA+Saudi-propped up crooks &amp; shysters. #Iran #disinformation #clickfarms https://t.co/prL8zpkRUF https://t.co/P9asCoqOb5,en,0,2022-12-15 09:39:30+00:00,
